04 14 2019 00:00:52,30.95
04 14 2019 00:01:52,31.9
04 14 2019 00:02:52,31.83
04 14 2019 00:03:52,31.66
04 14 2019 00:04:52,31.19
04 14 2019 00:05:52,31.72
04 14 2019 00:06:52,31.77
04 14 2019 00:07:52,31.1
04 14 2019 00:08:52,31.41
04 14 2019 00:09:52,31.35
04 14 2019 00:10:52,31.03
04 14 2019 00:11:53,31.19
04 14 2019 00:12:53,31.33
04 14 2019 00:13:53,31.39
04 14 2019 00:14:53,31.59
04 14 2019 00:15:53,31.02
04 14 2019 00:16:53,31.45
04 14 2019 00:17:53,32.15
04 14 2019 00:18:53,31.67
04 14 2019 00:19:53,31.55
04 14 2019 00:20:53,32.05
04 14 2019 00:21:53,31.38
04 14 2019 00:22:53,32.48
04 14 2019 00:23:53,31.89
04 14 2019 00:24:53,31.73
04 14 2019 00:25:54,32.49
04 14 2019 00:26:54,31.49
04 14 2019 00:27:54,31.1
04 14 2019 00:28:54,32.54
04 14 2019 00:29:54,31.42
04 14 2019 00:30:54,32.45
04 14 2019 00:31:54,32.06
04 14 2019 00:32:54,31.1
04 14 2019 00:33:54,31.35
04 14 2019 00:34:54,31.61
04 14 2019 00:35:54,32.28
04 14 2019 00:36:54,31.7
04 14 2019 00:37:54,31.56
04 14 2019 00:38:54,32.11
04 14 2019 00:39:54,31.83
04 14 2019 00:40:55,31.77
04 14 2019 00:41:55,31.72
04 14 2019 00:42:55,31.49
04 14 2019 00:43:55,32.52
04 14 2019 00:44:55,34.27
04 14 2019 00:45:55,31.56
04 14 2019 00:46:55,32.41
04 14 2019 00:47:55,31.5
04 14 2019 00:48:55,31.87
04 14 2019 00:49:55,32.32
04 14 2019 00:50:55,31.73
04 14 2019 00:51:55,32.06
04 14 2019 00:52:55,31.67
04 14 2019 00:53:56,31.45
04 14 2019 00:54:56,32.11
04 14 2019 00:55:56,32.02
04 14 2019 00:56:56,31.56
04 14 2019 00:57:56,31.62
04 14 2019 00:58:56,31.75
04 14 2019 00:59:56,31.25
04 14 2019 01:00:56,31.96
04 14 2019 01:01:56,32.02
04 14 2019 01:02:56,31.71
04 14 2019 01:03:56,31.25
04 14 2019 01:04:56,31.5
04 14 2019 01:05:56,32.09
04 14 2019 01:06:56,31.35
04 14 2019 01:07:56,31.45
04 14 2019 01:08:57,32.11
04 14 2019 01:09:57,31.73
04 14 2019 01:10:57,31.69
04 14 2019 01:11:57,31.69
04 14 2019 01:12:57,31.78
04 14 2019 01:13:57,31.61
04 14 2019 01:14:57,31.96
04 14 2019 01:15:57,31.32
04 14 2019 01:16:57,32.11
04 14 2019 01:17:57,31.51
04 14 2019 01:18:57,32.36
04 14 2019 01:19:57,31.97
04 14 2019 01:20:57,32.08
04 14 2019 01:21:58,31.32
04 14 2019 01:22:58,31.42
04 14 2019 01:23:58,31.26
04 14 2019 01:24:58,31.6
04 14 2019 01:25:58,31.44
04 14 2019 01:26:58,31.2
04 14 2019 01:27:58,31.75
04 14 2019 01:28:58,31.83
04 14 2019 01:29:58,31.19
04 14 2019 01:30:58,31.82
04 14 2019 01:31:58,31.84
04 14 2019 01:32:58,31.71
04 14 2019 01:33:58,31.08
04 14 2019 01:34:58,31.81
04 14 2019 01:35:58,31.78
04 14 2019 01:36:59,31.49
04 14 2019 01:37:59,31.51
04 14 2019 01:38:59,31.63
04 14 2019 01:39:59,32.35
04 14 2019 01:40:59,32.11
04 14 2019 01:41:59,30.92
04 14 2019 01:42:59,31.81
04 14 2019 01:43:59,31.56
04 14 2019 01:44:59,31.24
04 14 2019 01:45:59,32.29
04 14 2019 01:46:59,32.01
04 14 2019 01:47:59,31.83
04 14 2019 01:48:59,32.15
04 14 2019 01:49:59,32.14
04 14 2019 01:50:59,32.49
04 14 2019 01:51:59,31.87
04 14 2019 01:52:59,31.64
04 14 2019 01:53:59,31.85
04 14 2019 01:54:59,32.04
04 14 2019 01:55:59,32.18
04 14 2019 01:56:59,31.81
04 14 2019 01:58:00,31.84
04 14 2019 01:59:00,32.08
04 14 2019 02:00:00,31.68
04 14 2019 02:01:00,32.52
04 14 2019 02:02:00,31.93
04 14 2019 02:03:00,32.0
04 14 2019 02:04:00,31.81
04 14 2019 02:05:00,31.76
04 14 2019 02:06:00,31.8
04 14 2019 02:07:00,32.44
04 14 2019 02:08:00,31.93
04 14 2019 02:09:00,32.49
04 14 2019 02:10:00,31.49
04 14 2019 02:11:00,32.21
04 14 2019 02:12:00,31.78
04 14 2019 02:13:00,31.82
04 14 2019 02:14:00,32.51
04 14 2019 02:15:00,32.03
04 14 2019 02:16:00,32.03
04 14 2019 02:17:01,31.95
04 14 2019 02:18:01,31.19
04 14 2019 02:19:01,31.91
04 14 2019 02:20:01,31.63
04 14 2019 02:21:01,31.63
04 14 2019 02:22:01,31.69
04 14 2019 02:23:01,31.6
04 14 2019 02:24:01,31.92
04 14 2019 02:25:01,31.84
04 14 2019 02:26:01,31.29
04 14 2019 02:27:01,31.65
04 14 2019 02:28:01,31.5
04 14 2019 02:29:01,31.72
04 14 2019 02:30:01,32.13
04 14 2019 02:31:01,31.91
04 14 2019 02:32:01,32.3
04 14 2019 02:33:01,31.57
04 14 2019 02:34:01,31.15
04 14 2019 02:35:01,31.2
04 14 2019 02:36:01,31.77
04 14 2019 02:37:01,31.28
04 14 2019 02:38:02,32.28
04 14 2019 02:39:02,31.72
04 14 2019 02:40:02,32.4
04 14 2019 02:41:02,32.43
04 14 2019 02:42:02,31.72
04 14 2019 02:43:02,32.34
04 14 2019 02:44:02,32.37
04 14 2019 02:45:02,31.97
04 14 2019 02:46:02,31.92
04 14 2019 02:47:02,31.05
04 14 2019 02:48:02,31.88
04 14 2019 02:49:02,31.87
04 14 2019 02:50:02,31.44
04 14 2019 02:51:02,31.14
04 14 2019 02:52:03,31.67
04 14 2019 02:53:03,31.98
04 14 2019 02:54:03,31.71
04 14 2019 02:55:03,31.12
04 14 2019 02:56:03,31.56
04 14 2019 02:57:03,31.99
04 14 2019 02:58:03,31.41
04 14 2019 02:59:03,31.48
04 14 2019 03:00:03,32.34
04 14 2019 03:01:03,32.28
04 14 2019 03:02:03,31.44
04 14 2019 03:03:03,32.17
04 14 2019 03:04:03,31.89
04 14 2019 03:05:04,31.37
04 14 2019 03:06:04,31.64
04 14 2019 03:07:04,31.64
04 14 2019 03:08:04,31.86
04 14 2019 03:09:04,31.9
04 14 2019 03:10:04,31.72
04 14 2019 03:11:04,29.66
04 14 2019 03:12:04,31.46
04 14 2019 03:13:04,31.5
04 14 2019 03:14:04,31.82
04 14 2019 03:15:04,31.32
04 14 2019 03:16:04,32.27
04 14 2019 03:17:04,31.53
04 14 2019 03:18:05,32.25
04 14 2019 03:19:05,31.7
04 14 2019 03:20:05,31.95
04 14 2019 03:21:05,32.03
04 14 2019 03:22:05,32.29
04 14 2019 03:23:05,32.47
04 14 2019 03:24:05,31.97
04 14 2019 03:25:05,32.0
04 14 2019 03:26:05,31.92
04 14 2019 03:27:05,30.67
04 14 2019 03:28:05,31.95
04 14 2019 03:29:05,32.15
04 14 2019 03:30:05,31.32
04 14 2019 03:31:06,31.18
04 14 2019 03:32:06,32.02
04 14 2019 03:33:06,31.95
04 14 2019 03:34:06,30.62
04 14 2019 03:35:06,32.54
04 14 2019 03:36:06,32.47
04 14 2019 03:37:06,31.85
04 14 2019 03:38:06,31.78
04 14 2019 03:39:06,31.69
04 14 2019 03:40:06,31.93
04 14 2019 03:41:06,31.91
04 14 2019 03:42:06,31.54
04 14 2019 03:43:06,31.57
04 14 2019 03:44:07,32.38
04 14 2019 03:45:07,32.27
04 14 2019 03:46:07,32.35
04 14 2019 03:47:07,32.29
04 14 2019 03:48:07,31.76
04 14 2019 03:49:07,32.19
04 14 2019 03:50:07,31.49
04 14 2019 03:51:07,31.56
04 14 2019 03:52:07,31.57
04 14 2019 03:53:07,31.61
04 14 2019 03:54:07,31.91
04 14 2019 03:55:07,31.72
04 14 2019 03:56:07,31.36
04 14 2019 03:57:07,31.59
04 14 2019 03:58:07,31.65
04 14 2019 03:59:08,31.67
04 14 2019 04:00:08,31.61
04 14 2019 04:01:08,31.74
04 14 2019 04:02:08,31.02
04 14 2019 04:03:08,31.73
04 14 2019 04:04:08,31.99
04 14 2019 04:05:08,31.31
04 14 2019 04:06:08,31.18
04 14 2019 04:07:08,31.82
04 14 2019 04:08:08,31.75
04 14 2019 04:09:08,31.67
04 14 2019 04:10:08,31.87
04 14 2019 04:11:08,31.64
04 14 2019 04:12:08,31.56
04 14 2019 04:13:08,32.17
04 14 2019 04:14:08,31.47
04 14 2019 04:15:08,30.78
04 14 2019 04:16:09,32.2
04 14 2019 04:17:09,31.62
04 14 2019 04:18:09,31.89
04 14 2019 04:19:09,32.28
04 14 2019 04:20:09,31.61
04 14 2019 04:21:09,31.51
04 14 2019 04:22:09,32.46
04 14 2019 04:23:09,31.0
04 14 2019 04:24:09,31.88
04 14 2019 04:25:09,31.82
04 14 2019 04:26:09,31.23
04 14 2019 04:27:09,31.6
04 14 2019 04:28:09,32.46
04 14 2019 04:29:09,31.68
04 14 2019 04:30:09,31.34
04 14 2019 04:31:09,31.38
04 14 2019 04:32:09,31.68
04 14 2019 04:33:09,32.24
04 14 2019 04:34:09,31.98
04 14 2019 04:35:10,31.75
04 14 2019 04:36:10,31.86
04 14 2019 04:37:10,32.18
04 14 2019 04:38:10,32.04
04 14 2019 04:39:10,32.04
04 14 2019 04:40:10,32.2
04 14 2019 04:41:10,31.92
04 14 2019 04:42:10,31.99
04 14 2019 04:43:10,32.13
04 14 2019 04:44:10,32.41
04 14 2019 04:45:10,31.67
04 14 2019 04:46:10,32.12
04 14 2019 04:47:10,31.68
04 14 2019 04:48:10,33.16
04 14 2019 04:49:10,31.66
04 14 2019 04:50:10,32.63
04 14 2019 04:51:10,32.24
