12 27 2018 01:43:41,0.01,-0.91,-0.4
12 27 2018 01:44:41,0.01,-0.91,-0.41
12 27 2018 01:45:41,0.01,-0.91,-0.4
12 27 2018 01:46:41,0.01,-0.91,-0.4
12 27 2018 01:47:41,0.01,-0.91,-0.4
12 27 2018 01:48:41,0.01,-0.91,-0.4
12 27 2018 01:49:41,0.01,-0.91,-0.4
12 27 2018 01:50:41,0.01,-0.91,-0.4
12 27 2018 01:51:41,0.01,-0.91,-0.4
12 27 2018 01:52:41,0.01,-0.91,-0.4
12 27 2018 01:53:41,0.01,-0.91,-0.4
12 27 2018 01:54:41,0.01,-0.91,-0.4
12 27 2018 01:55:41,0.01,-0.91,-0.4
12 27 2018 01:56:41,0.01,-0.91,-0.4
12 27 2018 01:57:41,0.01,-0.91,-0.4
12 27 2018 01:58:41,0.01,-0.91,-0.4
12 27 2018 01:59:42,0.01,-0.91,-0.4
12 27 2018 02:00:42,0.01,-0.91,-0.4
12 27 2018 02:01:42,0.01,-0.91,-0.41
12 27 2018 02:02:42,0.01,-0.91,-0.41
12 27 2018 02:03:42,0.01,-0.91,-0.41
12 27 2018 02:04:42,0.01,-0.91,-0.4
12 27 2018 02:05:42,0.01,-0.91,-0.4
12 27 2018 02:06:42,0.01,-0.91,-0.4
12 27 2018 02:07:42,0.01,-0.91,-0.41
12 27 2018 02:08:42,0.01,-0.91,-0.4
12 27 2018 02:09:42,0.01,-0.91,-0.41
12 27 2018 02:10:42,0.01,-0.91,-0.4
12 27 2018 02:11:42,0.01,-0.91,-0.41
12 27 2018 02:12:42,0.01,-0.91,-0.41
12 27 2018 02:13:42,0.01,-0.91,-0.4
12 27 2018 02:14:42,0.01,-0.91,-0.4
12 27 2018 02:15:42,0.01,-0.91,-0.4
12 27 2018 02:16:42,0.01,-0.91,-0.4
12 27 2018 02:17:43,0.01,-0.91,-0.4
12 27 2018 02:18:43,0.01,-0.91,-0.4
12 27 2018 02:19:43,0.01,-0.91,-0.41
12 27 2018 02:20:43,0.01,-0.91,-0.4
12 27 2018 02:21:43,0.01,-0.91,-0.4
12 27 2018 02:22:43,0.01,-0.91,-0.4
12 27 2018 02:23:43,0.01,-0.91,-0.4
12 27 2018 02:24:43,0.01,-0.91,-0.4
12 27 2018 02:25:43,0.01,-0.91,-0.4
12 27 2018 02:26:43,0.01,-0.91,-0.4
