12 21 2018 00:00:10,31.32
12 21 2018 00:01:10,30.84
12 21 2018 00:02:10,31.14
12 21 2018 00:03:10,31.25
12 21 2018 00:04:10,31.27
12 21 2018 00:05:10,31.21
12 21 2018 00:06:10,31.13
12 21 2018 00:07:10,31.06
12 21 2018 00:08:10,31.25
12 21 2018 00:09:10,31.27
12 21 2018 00:10:10,31.27
12 21 2018 00:11:10,31.21
12 21 2018 00:12:10,31.18
12 21 2018 00:13:10,31.23
12 21 2018 00:14:10,31.21
12 21 2018 00:15:10,31.41
12 21 2018 00:16:10,31.34
12 21 2018 00:17:10,31.16
12 21 2018 00:18:11,31.18
12 21 2018 00:19:11,31.02
12 21 2018 00:20:11,31.11
12 21 2018 00:21:11,31.06
12 21 2018 00:22:11,31.0
12 21 2018 00:23:11,31.09
12 21 2018 00:24:11,31.11
12 21 2018 00:25:11,31.18
12 21 2018 00:26:11,31.09
12 21 2018 00:27:11,30.97
12 21 2018 00:28:11,30.98
12 21 2018 00:29:11,30.97
12 21 2018 00:30:11,30.91
12 21 2018 00:31:11,30.97
12 21 2018 00:32:11,31.07
12 21 2018 00:33:12,30.95
12 21 2018 00:34:12,30.91
12 21 2018 00:35:12,30.97
12 21 2018 00:36:12,31.11
12 21 2018 00:37:12,31.02
12 21 2018 00:38:12,30.9
12 21 2018 00:39:12,31.2
12 21 2018 00:40:12,31.14
12 21 2018 00:41:12,31.07
12 21 2018 00:42:12,30.93
12 21 2018 00:43:12,31.16
12 21 2018 00:44:12,31.04
12 21 2018 00:45:12,31.06
12 21 2018 00:46:13,31.09
12 21 2018 00:47:13,31.11
12 21 2018 00:48:13,31.14
12 21 2018 00:49:13,30.95
12 21 2018 00:50:13,31.07
12 21 2018 00:51:13,31.16
12 21 2018 00:52:13,31.06
12 21 2018 00:53:13,31.06
12 21 2018 00:54:13,31.06
12 21 2018 00:55:13,31.18
12 21 2018 00:56:13,31.18
12 21 2018 00:57:13,31.02
12 21 2018 00:58:13,31.11
12 21 2018 00:59:14,31.23
12 21 2018 01:00:14,31.16
12 21 2018 01:01:14,31.09
12 21 2018 01:02:14,31.43
12 21 2018 01:03:14,31.44
12 21 2018 01:04:14,31.39
12 21 2018 01:05:14,31.39
12 21 2018 01:06:14,31.32
12 21 2018 01:07:14,31.67
12 21 2018 01:08:14,31.55
12 21 2018 01:09:14,31.48
12 21 2018 01:10:14,31.85
12 21 2018 01:11:14,31.89
12 21 2018 01:12:14,31.83
12 21 2018 01:13:15,31.83
12 21 2018 01:14:15,31.99
12 21 2018 01:15:15,31.94
12 21 2018 01:16:15,31.99
12 21 2018 01:17:15,31.83
12 21 2018 01:18:15,32.06
12 21 2018 01:19:15,32.01
12 21 2018 01:20:15,32.01
12 21 2018 01:21:15,32.12
12 21 2018 01:22:15,31.99
12 21 2018 01:23:15,32.15
